country_name,country_code,year,male_enrollment,female_enrollment
Africa Eastern and Southern,AFE,2000,83.3678512573242,74.1068725585938
Africa Western and Central,AFW,2000,89.5402526855469,71.4281768798828
Arab World,ARB,2000,93.2574615478516,82.6585006713867
Australia,AUS,2000,101.746597290039,101.411880493164
East Asia & Pacific,EAS,2000,110.146797180176,110.308181762695
European Union,EUU,2000,103.935676574707,102.599060058594
High income,HIC,2000,103.613380432129,102.505058288574
Latin America & Caribbean,LCN,2000,117.201438903809,114.087532043457
Low income,LIC,2000,77.0344772338867,60.9345588684082
Lower middle income,LMC,2000,100.187171936035,87.0682373046875
North America,NAC,2000,101.301910400391,99.8882522583008
South Asia,SAS,2000,105.863059997559,90.7817611694336
Upper middle income,UMC,2000,112.053230285645,110.765243530273
Africa Eastern and Southern,AFE,2001,86.1019592285156,76.817268371582
Africa Western and Central,AFW,2001,89.5624771118164,72.4831008911133
Arab World,ARB,2001,93.3185272216797,83.6286315917969
Australia,AUS,2001,101.519828796387,101.354629516602
East Asia & Pacific,EAS,2001,110.649879455566,111.222671508789
European Union,EUU,2001,104.012962341309,103.047073364258
High income,HIC,2001,103.529006958008,102.964057922363
Latin America & Caribbean,LCN,2001,116.273826599121,113.437812805176
Low income,LIC,2001,79.8940734863281,63.7413215637207
Lower middle income,LMC,2001,98.9542083740234,86.8249969482422
North America,NAC,2001,100.366630554199,100.077743530273
South Asia,SAS,2001,103.536903381348,89.8244705200195
Upper middle income,UMC,2001,112.602813720703,111.77774810791
Africa Eastern and Southern,AFE,2002,88.7648468017578,79.0013275146484
Africa Western and Central,AFW,2002,91.3788375854492,74.1047286987305
Arab World,ARB,2002,93.9094390869141,84.8486633300781
Australia,AUS,2002,102.667877197266,102.393867492676
East Asia & Pacific,EAS,2002,109.242149353027,109.70955657959
European Union,EUU,2002,103.822967529297,102.630760192871
High income,HIC,2002,103.47386932373,103.245590209961
Latin America & Caribbean,LCN,2002,116.195343017578,113.424621582031
Low income,LIC,2002,84.79443359375,68.1012802124023
Lower middle income,LMC,2002,99.4898910522461,88.1046600341797
North America,NAC,2002,99.4455413818359,100.252616882324
South Asia,SAS,2002,103.367172241211,91.4004211425781
Upper middle income,UMC,2002,111.656936645508,110.849739074707
Africa Eastern and Southern,AFE,2003,92.3664398193359,82.6263275146484
Africa Western and Central,AFW,2003,91.6851425170898,75.2953186035156
Arab World,ARB,2003,94.443977355957,85.9767913818359
Australia,AUS,2003,102.965950012207,102.737510681152
East Asia & Pacific,EAS,2003,107.832626342773,108.323722839355
European Union,EUU,2003,103.673362731934,102.587249755859
High income,HIC,2003,103.965087890625,103.647216796875
Latin America & Caribbean,LCN,2003,115.166839599609,112.426338195801
Low income,LIC,2003,87.9103622436523,71.5147094726562
Lower middle income,LMC,2003,101.504577636719,94.9951782226562
North America,NAC,2003,100.393829345703,100.53507232666
South Asia,SAS,2003,106.175071716309,103.012718200684
Upper middle income,UMC,2003,110.149116516113,109.32991027832
Africa Eastern and Southern,AFE,2004,94.1967620849609,85.0080413818359
Africa Western and Central,AFW,2004,93.3617935180664,77.389030456543
Arab World,ARB,2004,94.4863433837891,86.3581695556641
Australia,AUS,2004,103.428977966309,103.168251037598
East Asia & Pacific,EAS,2004,106.506790161133,107.229118347168
European Union,EUU,2004,103.544227600098,102.465507507324
High income,HIC,2004,104.006568908691,103.48316192627
Latin America & Caribbean,LCN,2004,115.497138977051,112.550193786621
Low income,LIC,2004,90.9798583984375,73.628288269043
Lower middle income,LMC,2004,102.932960510254,96.6157836914062
North America,NAC,2004,101.347076416016,100.813980102539
South Asia,SAS,2004,107.548789978027,104.827087402344
Upper middle income,UMC,2004,109.010040283203,108.483413696289
Africa Eastern and Southern,AFE,2005,97.1745223999023,88.5643615722656
Africa Western and Central,AFW,2005,93.9539413452148,78.62255859375
Arab World,ARB,2005,94.0869827270508,86.1738128662109
Australia,AUS,2005,103.613677978516,103.170623779297
East Asia & Pacific,EAS,2005,105.085670471191,105.498176574707
European Union,EUU,2005,104.071113586426,102.943672180176
High income,HIC,2005,103.038726806641,102.413528442383
Latin America & Caribbean,LCN,2005,114.960998535156,111.835609436035
Low income,LIC,2005,92.5205383300781,77.8632888793945
Lower middle income,LMC,2005,103.907707214355,98.0027236938477
North America,NAC,2005,102.101379394531,101.035682678223
South Asia,SAS,2005,108.992553710938,106.614097595215
Upper middle income,UMC,2005,107.892181396484,107.018737792969
Africa Eastern and Southern,AFE,2006,99.1968688964844,91.4014282226562
Africa Western and Central,AFW,2006,94.0319366455078,80.0140228271484
Arab World,ARB,2006,95.4195404052734,87.4204788208008
Australia,AUS,2006,103.784690856934,103.328758239746
East Asia & Pacific,EAS,2006,104.409080505371,104.717170715332
European Union,EUU,2006,103.874443054199,102.802177429199
High income,HIC,2006,103.054847717285,103.040657043457
Latin America & Caribbean,LCN,2006,110.84635925293,107.803619384766
Low income,LIC,2006,94.6586303710938,81.1647033691406
Lower middle income,LMC,2006,104.235382080078,98.9972915649414
North America,NAC,2006,101.66667175293,102.319259643555
South Asia,SAS,2006,110.713470458984,108.712730407715
Upper middle income,UMC,2006,106.388442993164,105.385902404785
Africa Eastern and Southern,AFE,2007,102.355903625488,94.5530624389648
Africa Western and Central,AFW,2007,90.2734909057617,78.3549194335938
Arab World,ARB,2007,95.0440521240234,87.2020721435547
