country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,"School enrollment, primary, male (% gross)",83.3678512573242,86.1019592285156,88.7648468017578,92.3664398193359,94.1967620849609,97.1745223999023,99.1968688964844,102.355903625488,105.863906860352,104.935249328613,104.07836151123,104.747787475586,104.623512268066,103.379051208496,103.519523620605,101.695373535156,102.173400878906,103.185272216797,104.823997497559,105.613983154297,106.479591369629,104.912391662598,101.695259094238,101.874801635742
Africa Western and Central,AFW,"School enrollment, primary, male (% gross)",89.5402526855469,89.5624771118164,91.3788375854492,91.6851425170898,93.3617935180664,93.9539413452148,94.0319366455078,90.2734909057617,87.4185104370117,88.8881912231445,89.1337890625,91.7974090576172,92.3349533081055,93.351676940918,91.5471572875977,89.569938659668,89.6603698730469,89.3093109130859,88.7229919433594,89.3064727783203,89.6025772094727,89.3786163330078,90.9440765380859,92.4607009887695
Arab World,ARB,"School enrollment, primary, male (% gross)",93.2574615478516,93.3185272216797,93.9094390869141,94.443977355957,94.4863433837891,94.0869827270508,95.4195404052734,95.0440521240234,95.0170593261719,94.7975921630859,94.9847564697266,94.3305892944336,95.217887878418,91.5713119506836,90.3999481201172,90.3381729125977,90.2205505371094,90.5882568359375,91.0492935180664,91.1403579711914,91.708251953125,91.5369110107422,90.201042175293,93.0848388671875
Australia,AUS,"School enrollment, primary, male (% gross)",101.746597290039,101.519828796387,102.667877197266,102.965950012207,103.428977966309,103.613677978516,103.784690856934,105.696357727051,105.521751403809,105.480667114258,105.76335144043,105.483627319336,105.847038269043,105.96508026123,105.602493286133,101.709098815918,101.226402282715,100.60986328125,100.336578369141,100.128227233887,99.8206787109375,99.7966995239258,99.0480804443359,99.3072128295898
East Asia & Pacific,EAS,"School enrollment, primary, male (% gross)",110.146797180176,110.649879455566,109.242149353027,107.832626342773,106.506790161133,105.085670471191,104.409080505371,105.040061950684,105.305358886719,105.39315032959,104.625343322754,104.760368347168,105.107368469238,104.502311706543,101.740730285645,101.095222473145,100.851448059082,100.671051025391,100.213882446289,99.9132995605469,100.125030517578,100.037750244141,100.238960266113,99.4921417236328
European Union,EUU,"School enrollment, primary, male (% gross)",103.935676574707,104.012962341309,103.822967529297,103.673362731934,103.544227600098,104.071113586426,103.874443054199,103.586730957031,103.228469848633,102.731651306152,102.361656188965,102.06037902832,101.853157043457,102.30948638916,101.634437561035,101.486022949219,101.072052001953,101.689682006836,101.725082397461,101.676338195801,100.913841247559,101.500312805176,101.366416931152,102.413383483887
High income,HIC,"School enrollment, primary, male (% gross)",103.613380432129,103.529006958008,103.47386932373,103.965087890625,104.006568908691,103.038726806641,103.054847717285,102.980590820312,103.233428955078,102.851821899414,102.554862976074,102.272598266602,102.234512329102,101.11750793457,100.667938232422,100.790496826172,100.846496582031,101.550148010254,101.367866516113,101.089767456055,100.854721069336,100.190940856934,99.6897735595703,99.9018020629883
Latin America & Caribbean,LCN,"School enrollment, primary, male (% gross)",117.201438903809,116.273826599121,116.195343017578,115.166839599609,115.497138977051,114.960998535156,110.84635925293,114.627769470215,114.093650817871,114.118270874023,113.007751464844,112.0732421875,110.809478759766,111.644371032715,110.76065826416,109.505928039551,108.681587219238,107.916458129883,107.42845916748,107.310577392578,106.762519836426,105.64380645752,105.26683807373,104.813507080078
Low income,LIC,"School enrollment, primary, male (% gross)",77.0344772338867,79.8940734863281,84.79443359375,87.9103622436523,90.9798583984375,92.5205383300781,94.6586303710938,96.9198608398438,100.931510925293,100.946258544922,100.461067199707,100.444648742676,101.117492675781,100.169929504395,100.847763061523,98.8886337280273,99.9617767333984,100.924896240234,102.359069824219,103.256881713867,104.184913635254,102.886077880859,99.7575912475586,100.042129516602
Lower middle income,LMC,"School enrollment, primary, male (% gross)",100.187171936035,98.9542083740234,99.4898910522461,101.504577636719,102.932960510254,103.907707214355,104.235382080078,104.480430603027,103.182159423828,102.507118225098,102.865699768066,102.956161499023,103.798782348633,102.60871887207,101.40274810791,100.954330444336,102.612678527832,101.851348876953,98.0125427246094,97.5269393920898,98.3144607543945,98.6480026245117,102.000427246094,103.207939147949
North America,NAC,"School enrollment, primary, male (% gross)",101.301910400391,100.366630554199,99.4455413818359,100.393829345703,101.347076416016,102.101379394531,101.66667175293,102.218772888184,102.753692626953,101.805603027344,101.261520385742,100.733329772949,100.320579528809,99.8180694580078,99.8163681030273,100.298439025879,101.247512817383,101.932579040527,101.098213195801,100.32250213623,100.201202392578,98.2628021240234,96.7350006103516,97.6152572631836
South Asia,SAS,"School enrollment, primary, male (% gross)",105.863059997559,103.536903381348,103.367172241211,106.175071716309,107.548789978027,108.992553710938,110.713470458984,111.899429321289,110.68009185791,109.56339263916,109.839698791504,109.279220581055,111.017311096191,109.091049194336,107.539199829102,108.312271118164,111.530349731445,110.663162231445,101.906433105469,100.665252685547,102.249938964844,103.381729125977,111.243583679199,112.526657104492
Upper middle income,UMC,"School enrollment, primary, male (% gross)",112.053230285645,112.602813720703,111.656936645508,110.149116516113,109.010040283203,107.892181396484,106.388442993164,107.951080322266,107.936576843262,107.926040649414,106.825408935547,106.557258605957,106.336448669434,106.451179504395,103.598579406738,102.79125213623,102.299247741699,101.892807006836,101.684776306152,101.521667480469,101.55835723877,101.136131286621,101.219276428223,100.355422973633
