country_name,country_code,year,male_enrollment,female_enrollment
Africa Eastern and Southern,AFE,2000,29.9147891998291,25.5485401153564
Africa Western and Central,AFW,2000,25.8329792022705,18.7828693389893
Arab World,ARB,2000,62.0485000610352,56.1960716247559
Australia,AUS,2000,,
East Asia & Pacific,EAS,2000,63.2668914794922,60.9457092285156
European Union,EUU,2000,101.213088989258,101.815292358398
High income,HIC,2000,97.8954010009766,99.3023223876953
Latin America & Caribbean,LCN,2000,77.0258331298828,81.7892074584961
Low income,LIC,2000,28.7555103302002,19.2532196044922
Lower middle income,LMC,2000,49.1518898010254,39.2242393493652
North America,NAC,2000,94.0496597290039,95.5698165893555
South Asia,SAS,2000,53.9573287963867,40.5729293823242
Upper middle income,UMC,2000,67.7393493652344,66.2597122192383
Africa Eastern and Southern,AFE,2001,31.2034797668457,26.3633804321289
Africa Western and Central,AFW,2001,27.6993408203125,20.19407081604
Arab World,ARB,2001,63.2122497558594,57.5917701721191
Australia,AUS,2001,,
East Asia & Pacific,EAS,2001,64.8903121948242,62.8622512817383
European Union,EUU,2001,102.163070678711,103.150093078613
High income,HIC,2001,98.4196090698242,99.7302169799805
Latin America & Caribbean,LCN,2001,78.0848236083984,83.0510101318359
Low income,LIC,2001,29.8543796539307,19.9996604919434
Lower middle income,LMC,2001,49.4048614501953,39.7521591186523
North America,NAC,2001,94.6635284423828,95.1561889648438
South Asia,SAS,2001,53.6548805236816,40.8564796447754
Upper middle income,UMC,2001,69.5156097412109,68.3133697509766
Africa Eastern and Southern,AFE,2002,31.9824695587158,26.9570503234863
Africa Western and Central,AFW,2002,30.0123596191406,20.6358604431152
Arab World,ARB,2002,63.5881195068359,58.7111282348633
Australia,AUS,2002,,
East Asia & Pacific,EAS,2002,65.4806671142578,63.8230400085449
European Union,EUU,2002,102.92845916748,103.708229064941
High income,HIC,2002,98.9757614135742,99.9672012329102
Latin America & Caribbean,LCN,2002,84.4059371948242,90.0146865844727
Low income,LIC,2002,30.4471206665039,20.8379898071289
Lower middle income,LMC,2002,50.6568603515625,41.4319915771484
North America,NAC,2002,95.3163070678711,94.7082214355469
South Asia,SAS,2002,55.0567817687988,43.2442016601562
Upper middle income,UMC,2002,71.3286819458008,70.6292572021484
Africa Eastern and Southern,AFE,2003,32.7631492614746,27.4211807250977
Africa Western and Central,AFW,2003,31.5979099273682,22.5834197998047
Arab World,ARB,2003,64.8697967529297,60.5331802368164
Australia,AUS,2003,,
East Asia & Pacific,EAS,2003,66.5983200073242,65.3064880371094
European Union,EUU,2003,103.375793457031,104.016456604004
High income,HIC,2003,99.1025772094727,100.244621276855
Latin America & Caribbean,LCN,2003,81.6343002319336,87.7489395141602
Low income,LIC,2003,32.1424789428711,22.4006404876709
Lower middle income,LMC,2003,51.4477081298828,43.9703102111816
North America,NAC,2003,95.0673599243164,95.5795364379883
South Asia,SAS,2003,55.9646492004395,46.8258094787598
Upper middle income,UMC,2003,71.4919128417969,71.2107620239258
Africa Eastern and Southern,AFE,2004,34.5908699035645,28.4966602325439
Africa Western and Central,AFW,2004,33.2710914611816,24.1746807098389
Arab World,ARB,2004,66.1074981689453,61.9100914001465
Australia,AUS,2004,,
East Asia & Pacific,EAS,2004,68.6420135498047,68.1626815795898
European Union,EUU,2004,101.01407623291,101.810302734375
High income,HIC,2004,97.5397415161133,98.8796234130859
Latin America & Caribbean,LCN,2004,83.3975677490234,89.4052276611328
Low income,LIC,2004,33.9013595581055,23.3115005493164
