country_name,country_code,year,male_enrollment,female_enrollment
Africa Eastern and Southern,AFE,2000,4.49486017227173,3.50468993186951
Africa Western and Central,AFW,2000,6.15844011306763,3.72952008247375
Arab World,ARB,2000,17.5088691711426,16.152530670166
Australia,AUS,2000,,
East Asia & Pacific,EAS,2000,17.8526096343994,15.1963996887207
European Union,EUU,2000,47.2760200500488,54.6741714477539
High income,HIC,2000,52.4662399291992,61.0324096679688
Latin America & Caribbean,LCN,2000,21.8702697753906,25.7670402526856
Low income,LIC,2000,5.88222980499268,3.08267998695373
Lower middle income,LMC,2000,11.1493101119995,8.30731964111328
North America,NAC,2000,57.8130683898926,76.4307632446289
South Asia,SAS,2000,11.145489692688,7.15493011474609
Upper middle income,UMC,2000,15.6081495285034,15.1106004714966
Africa Eastern and Southern,AFE,2001,4.79491996765137,3.73327994346619
Africa Western and Central,AFW,2001,6.78414011001587,4.06348991394043
Arab World,ARB,2001,17.9445495605469,16.8689403533936
Australia,AUS,2001,,
East Asia & Pacific,EAS,2001,18.9207000732422,15.9441404342651
European Union,EUU,2001,49.1958389282227,57.6084289550781
High income,HIC,2001,54.6695404052734,64.6687927246094
Latin America & Caribbean,LCN,2001,23.2590293884277,27.2950191497803
Low income,LIC,2001,6.16816997528076,3.25638008117676
Lower middle income,LMC,2001,11.3921499252319,8.62637996673584
North America,NAC,2001,61.3481216430664,82.1066284179688
South Asia,SAS,2001,11.2497797012329,7.48057985305786
Upper middle income,UMC,2001,16.8075294494629,16.2194004058838
Africa Eastern and Southern,AFE,2002,5.00834989547729,3.99998998641968
Africa Western and Central,AFW,2002,7.42371988296509,4.42965984344482
Arab World,ARB,2002,18.5274600982666,17.8973999023438
Australia,AUS,2002,,
East Asia & Pacific,EAS,2002,20.3110599517822,17.7628498077393
European Union,EUU,2002,50.989688873291,60.5620918273926
High income,HIC,2002,56.7703285217285,68.6636199951172
Latin America & Caribbean,LCN,2002,24.8216705322266,29.3838195800781
Low income,LIC,2002,6.35248994827271,3.47827005386352
Lower middle income,LMC,2002,11.6843500137329,9.10881996154785
North America,NAC,2002,64.7836685180664,87.907356262207
South Asia,SAS,2002,11.7205495834351,7.88865995407104
Upper middle income,UMC,2002,18.42160987854,18.2254600524902
Africa Eastern and Southern,AFE,2003,5.40652990341187,4.21983003616333
Africa Western and Central,AFW,2003,8.07135963439941,4.76814985275269
Arab World,ARB,2003,18.1928901672363,18.3915195465088
Australia,AUS,2003,,
East Asia & Pacific,EAS,2003,22.0352191925049,19.4840202331543
European Union,EUU,2003,52.9786109924316,63.1297988891602
High income,HIC,2003,58.4229698181152,71.2057266235352
Latin America & Caribbean,LCN,2003,26.1452007293701,31.1989707946777
Low income,LIC,2003,6.61088991165161,3.54962992668152
Lower middle income,LMC,2003,12.0127000808716,9.25961971282959
North America,NAC,2003,65.5049896240234,90.4060592651367
South Asia,SAS,2003,12.3424501419067,8.12996006011963
