country_name,country_code,year,trained_teacher
Africa Eastern and Southern,AFE,2000,
Africa Eastern and Southern,AFE,2001,
Africa Eastern and Southern,AFE,2002,
Africa Eastern and Southern,AFE,2003,
Africa Eastern and Southern,AFE,2004,
Africa Eastern and Southern,AFE,2005,
Africa Eastern and Southern,AFE,2006,
Africa Eastern and Southern,AFE,2007,
Africa Eastern and Southern,AFE,2008,
Africa Eastern and Southern,AFE,2009,69.2460632324219
Africa Eastern and Southern,AFE,2010,67.3307495117188
Africa Eastern and Southern,AFE,2011,63.5546607971191
Africa Eastern and Southern,AFE,2012,63.2099800109863
Africa Eastern and Southern,AFE,2013,60.9725303649902
Africa Eastern and Southern,AFE,2014,56.2616500854492
Africa Eastern and Southern,AFE,2015,56.3119201660156
Africa Eastern and Southern,AFE,2016,61.4890785217285
Africa Eastern and Southern,AFE,2017,62.5127410888672
Africa Eastern and Southern,AFE,2018,66.4320602416992
Africa Eastern and Southern,AFE,2019,62.2321395874023
Africa Eastern and Southern,AFE,2020,57.660270690918
Africa Eastern and Southern,AFE,2021,58.9477806091309
Africa Eastern and Southern,AFE,2022,
Africa Eastern and Southern,AFE,2023,
Africa Western and Central,AFW,2000,
Africa Western and Central,AFW,2001,
Africa Western and Central,AFW,2002,81.3520812988281
Africa Western and Central,AFW,2003,77.4139404296875
Africa Western and Central,AFW,2004,83.1317901611328
Africa Western and Central,AFW,2005,79.4016189575195
Africa Western and Central,AFW,2006,72.2792205810547
Africa Western and Central,AFW,2007,58.7691307067871
Africa Western and Central,AFW,2008,53.717170715332
Africa Western and Central,AFW,2009,53.7646789550781
Africa Western and Central,AFW,2010,53.4865684509277
Africa Western and Central,AFW,2011,45.5000686645508
Africa Western and Central,AFW,2012,56.9589996337891
Africa Western and Central,AFW,2013,51.701171875
Africa Western and Central,AFW,2014,58.7505416870117
Africa Western and Central,AFW,2015,60.1464195251465
Africa Western and Central,AFW,2016,63.2614707946777
Africa Western and Central,AFW,2017,63.9641189575195
Africa Western and Central,AFW,2018,64.058708190918
Africa Western and Central,AFW,2019,62.707389831543
Africa Western and Central,AFW,2020,61.4384002685547
Africa Western and Central,AFW,2021,60.0963706970215
Africa Western and Central,AFW,2022,58.6279487609863
Africa Western and Central,AFW,2023,
Arab World,ARB,2000,
Arab World,ARB,2001,
Arab World,ARB,2002,
Arab World,ARB,2003,
Arab World,ARB,2004,
Arab World,ARB,2005,
Arab World,ARB,2006,
Arab World,ARB,2007,
Arab World,ARB,2008,
Arab World,ARB,2009,
Arab World,ARB,2010,
Arab World,ARB,2011,
Arab World,ARB,2012,
Arab World,ARB,2013,
Arab World,ARB,2014,
Arab World,ARB,2015,82.4288482666016
Arab World,ARB,2016,82.1020584106445
Arab World,ARB,2017,84.5305404663086
Arab World,ARB,2018,86.6735687255859
Arab World,ARB,2019,86.6251525878906
Arab World,ARB,2020,84.9144668579102
Arab World,ARB,2021,86.5154800415039
Arab World,ARB,2022,89.1370391845703
Arab World,ARB,2023,83.607536315918
Australia,AUS,2000,
Australia,AUS,2001,
Australia,AUS,2002,
Australia,AUS,2003,
Australia,AUS,2004,
Australia,AUS,2005,
Australia,AUS,2006,
Australia,AUS,2007,
Australia,AUS,2008,
Australia,AUS,2009,
Australia,AUS,2010,
Australia,AUS,2011,
Australia,AUS,2012,
Australia,AUS,2013,
Australia,AUS,2014,
Australia,AUS,2015,
Australia,AUS,2016,
Australia,AUS,2017,
Australia,AUS,2018,
Australia,AUS,2019,
Australia,AUS,2020,
Australia,AUS,2021,
Australia,AUS,2022,
Australia,AUS,2023,
East Asia & Pacific,EAS,2000,
East Asia & Pacific,EAS,2001,
East Asia & Pacific,EAS,2002,
East Asia & Pacific,EAS,2003,
East Asia & Pacific,EAS,2004,
East Asia & Pacific,EAS,2005,
East Asia & Pacific,EAS,2006,
East Asia & Pacific,EAS,2007,
East Asia & Pacific,EAS,2008,
East Asia & Pacific,EAS,2009,
East Asia & Pacific,EAS,2010,
East Asia & Pacific,EAS,2011,
East Asia & Pacific,EAS,2012,
East Asia & Pacific,EAS,2013,
East Asia & Pacific,EAS,2014,
East Asia & Pacific,EAS,2015,
East Asia & Pacific,EAS,2016,
East Asia & Pacific,EAS,2017,
East Asia & Pacific,EAS,2018,
East Asia & Pacific,EAS,2019,
East Asia & Pacific,EAS,2020,
East Asia & Pacific,EAS,2021,
East Asia & Pacific,EAS,2022,
East Asia & Pacific,EAS,2023,
European Union,EUU,2000,
European Union,EUU,2001,
European Union,EUU,2002,
European Union,EUU,2003,
European Union,EUU,2004,
European Union,EUU,2005,
European Union,EUU,2006,
European Union,EUU,2007,
European Union,EUU,2008,
European Union,EUU,2009,
European Union,EUU,2010,
European Union,EUU,2011,
European Union,EUU,2012,
European Union,EUU,2013,
European Union,EUU,2014,
European Union,EUU,2015,
European Union,EUU,2016,
European Union,EUU,2017,
European Union,EUU,2018,
European Union,EUU,2019,
European Union,EUU,2020,
European Union,EUU,2021,
European Union,EUU,2022,
European Union,EUU,2023,
High income,HIC,2000,
High income,HIC,2001,
High income,HIC,2002,
High income,HIC,2003,
High income,HIC,2004,
High income,HIC,2005,
High income,HIC,2006,
High income,HIC,2007,
High income,HIC,2008,
High income,HIC,2009,93.6299591064453
High income,HIC,2010,93.8007736206055
High income,HIC,2011,93.9835510253906
High income,HIC,2012,94.1225280761719
High income,HIC,2013,95.2091369628906
High income,HIC,2014,95.3305816650391
High income,HIC,2015,94.5462875366211
High income,HIC,2016,93.5049133300781
High income,HIC,2017,93.2310104370117
High income,HIC,2018,92.3420333862305
High income,HIC,2019,91.7518768310547
High income,HIC,2020,91.503288269043
High income,HIC,2021,89.7136001586914
High income,HIC,2022,87.8444976806641
High income,HIC,2023,87.2409133911133
Latin America & Caribbean,LCN,2000,
Latin America & Caribbean,LCN,2001,
Latin America & Caribbean,LCN,2002,
Latin America & Caribbean,LCN,2003,
Latin America & Caribbean,LCN,2004,
Latin America & Caribbean,LCN,2005,
Latin America & Caribbean,LCN,2006,
Latin America & Caribbean,LCN,2007,83.0105590820312
Latin America & Caribbean,LCN,2008,
Latin America & Caribbean,LCN,2009,
Latin America & Caribbean,LCN,2010,
Latin America & Caribbean,LCN,2011,77.9215774536133
Latin America & Caribbean,LCN,2012,79.3628005981445
Latin America & Caribbean,LCN,2013,77.5350494384766
