"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","95.8785171508789","95.1983337402344","91.8326721191406","93.2432403564453","","98.9189224243164","96.2025299072266","96.2406005859375","95.8333282470703","95.8558578491211","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.2460632324219","67.3307495117188","63.5546607971191","63.2099800109863","60.9725303649902","56.2616500854492","56.3119201660156","61.4890785217285","62.5127410888672","66.4320602416992","62.2321395874023","57.660270690918","58.9477806091309","","","","",
"Afghanistan","AFG","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3520812988281","77.4139404296875","83.1317901611328","79.4016189575195","72.2792205810547","58.7691307067871","53.717170715332","53.7646789550781","53.4865684509277","45.5000686645508","56.9589996337891","51.701171875","58.7505416870117","60.1464195251465","63.2614707946777","63.9641189575195","64.058708190918","62.707389831543","61.4384002685547","60.0963706970215","58.6279487609863","","","",
"Angola","AGO","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.4898639838592","","","","","","92.1391284611893","","83.7534246575343","","",
"Albania","ALB","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.3922835047166","67.0058826055219","","","","",
"Andorra","AND","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.4288482666016","82.1020584106445","84.5305404663086","86.6735687255859","86.6251525878906","84.9144668579102","86.5154800415039","89.1370391845703","83.607536315918","83.5204696655273","",
"United Arab Emirates","ARE","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","","",
"Argentina","ARG","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5865380783485","76.1783598898807","75.0072520823837","82.2083545593479","85.0266024828984","85.6661941885188","",
"American Samoa","ASM","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.2081184387207","","","","","","","","","41.2979393005371","42.9394798278809","47.0255012512207","","","55.1928787231445","44.2528735632184","","51.1685104370117","47.692310333252","","","","","","","",
"Australia","AUS","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3833959955237","98.5380045869701","98.5948151546932","98.860625109716","99.0119151409474","99.1261041965922","98.7748930393993","",
"Burundi","BDI","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8927803039551","","","","","","","","72.3781585693359","74.8956933738774","","72.3537293434569","100","100","","100","72.1392454297938","","","","","","",
"Belgium","BEL","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3661117553711","","","","","","","","","","","","","","","20.0265598297119","18.0283603668213","","","","33.9674110412598","36.2792282104492","35.623779296875","","","",
"Burkina Faso","BFA","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0356101989746","","48.0336709193739","48.3296994237658","48.8618316569614","46.910998133728","59.9629455665153","59.5218102267203","58.2339716568309","59.7505730322883","60.8344370860927","63.9856053149606","66.6358717170384","69.4532158883164","64.8720642860314","67.1572560059513","",
"Bangladesh","BGD","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5835760942814","56.171025449082","58.0366939972343","","","62.6054496765137","66.4514617919922","","","61.6726213344893","63.2868142706897","64.271464999144","65.014064826229","55.0060347391069","",
"Bulgaria","BGR","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.1318360614135","82.5468424705066","82.9885315943333","83.2676734515211","83.1875400042671","84.7287615148414","84.7383720930232","100","100","100","","100","100","100","",
